,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
1,Stadtsparkasse Felsberg,Hessen,424412175.0,361000.0,120333.33333333333,"156,1 Mio. €",42.0,3.0
2,Stadtsparkasse Borken,Hessen,434537800.0,278000.0,139000.0,"150,7 Mio. €",48.0,2.0
3,Sparkasse Battenberg,Hessen,556846950.0,239000.0,119500.0,"186,6 Mio. €",65.0,2.0
4,Stadtsparkasse Schwalmstadt,Hessen,537982370.0,291000.0,145500.0,"193,6 Mio. €",48.0,2.0
5,Stadtsparkasse Grebenstein,Hessen,506842930.0,254000.0,120952.38095238095,"188,2 Mio. €",62.0,2.1
7,Sparkasse Laubach-Hungen,Hessen,670256386.0,291000.0,145500.0,"237,8 Mio. €",81.0,2.0
8,Sparkasse Hohenwestedt,Schleswig-Holstein,653971310.0,305000.0,152500.0,"239,5 Mio. €",47.0,2.0
9,Sparkasse Geseke,Nordrhein-Westfalen,736237869.0,329000.0,164500.0,269 Mio. €,80.0,2.0
10,Sparkasse Finnentrop,Nordrhein-Westfalen,766019530.0,396000.0,198000.0,"296,5 Mio. €",94.0,2.0
11,Stadtsparkasse Haltern am See,Nordrhein-Westfalen,785124389.0,315000.0,157500.0,"295,9 Mio. €",109.0,2.0
13,Stadtsparkasse Freudenberg,Nordrhein-Westfalen,843755068.0,398000.0,199000.0,"285,3 Mio. €",91.0,2.0
14,Stadtsparkasse Delbrück,Nordrhein-Westfalen,794589147.0,453000.0,226500.0,"296,1 Mio. €",89.0,2.0
15,Stadtsparkasse Hilchenbach,Nordrhein-Westfalen,806856927.0,411500.0,205750.0,"311,5 Mio. €",83.0,2.0
16,Stadtsparkasse Blomberg/Lippe,Nordrhein-Westfalen,755900000.0,360000.0,180000.0,290 Mio. €,75.0,2.0
17,Stadtsparkasse Versmold,Nordrhein-Westfalen,834645362.0,400000.0,200000.0,"301,6 Mio. €",79.0,2.0
