sparkasse,name,since,until,position,feste_bezuege,erfolgsabhaengige_bezuege,sonstige_bezuege,gesamtverguetung,anmerkungen,state,verband,year,gesamtverguetung_2013,bezuege_quote_zu_2013
Kreissparkasse Groß-Gerau,Norbert Kleinle,2014-01-01,2014-12-31,Vorsitzende(r),400000.0,59000.0,0.0,459000.0,,Hessen,SGVHT,2014.0,392000.0,0.15051020408163265
Kasseler Sparkasse,Dr. Ralf Beinhauer,2014-01-01,2014-12-31,Mitglied,190000.0,32000.0,0.0,222000.0,,Hessen,SGVHT,2014.0,212000.0,0.1509433962264151
Kasseler Sparkasse,Jochen Johannink,2014-01-01,2014-12-31,Mitglied,284000.0,48000.0,0.0,332000.0,,Hessen,SGVHT,2014.0,318000.0,0.1509433962264151
Sparkasse Hanau,Robert Restani,2014-01-01,2014-12-31,Vorsitzende(r),378000.0,65000.0,0.0,443000.0,,Hessen,SGVHT,2014.0,430000.0,0.1511627906976744
Kasseler Sparkasse,Wolfram Ebert,2014-01-01,2014-12-31,Mitglied,225000.0,38000.0,0.0,263000.0,,Hessen,SGVHT,2014.0,251000.0,0.15139442231075698
Sparkasse Hanau,Dr. Ingo Wiedemeier,2014-01-01,2014-12-31,Mitglied,302000.0,52000.0,0.0,354000.0,,Hessen,SGVHT,2014.0,340000.0,0.15294117647058825
Sparkasse Starkenburg,Jürgen Schüdde,2014-01-01,2014-12-31,Vorsitzende(r),269000.0,47000.0,0.0,316000.0,,Hessen,SGVHT,2014.0,302000.0,0.15562913907284767
Sparkasse Dieburg,Markus Euler,2014-01-01,2014-12-31,Mitglied,271400.0,49800.0,0.0,321200.0,,Hessen,SGVHT,2014.0,312100.0,0.15956424223005447
Stadt- und Kreissparkasse Darmstadt,Georg Sellner,2014-01-01,2014-12-31,Vorsitzende(r),425000.0,78000.0,0.0,503000.0,,Hessen,SGVHT,2014.0,488000.0,0.1598360655737705
Stadt- und Kreissparkasse Darmstadt,Hans-Werner Erb,2014-01-01,2014-12-31,Mitglied,294000.0,52000.0,0.0,346000.0,,Hessen,SGVHT,2014.0,325000.0,0.16
Stadt- und Kreissparkasse Darmstadt,Roman Scheidel,2014-01-01,2014-12-31,Mitglied,353000.0,65000.0,0.0,418000.0,,Hessen,SGVHT,2014.0,406000.0,0.16009852216748768
Sparkasse Starkenburg,Manfred Rheiner,2014-11-01,2014-12-31,Mitglied,245000.0,45000.0,,290000.0,,Hessen,SGVHT,2014.0,278000.0,0.1618705035971223
Sparkasse Gießen,Peter Wolf,2014-01-01,2014-12-31,Vorsitzende(r),288000.0,47000.0,0.0,335000.0,,Hessen,SGVHT,2014.0,289000.0,0.16262975778546712
Stadtsparkasse Haltern am See,Jutta Kuhn,2014-01-01,2014-12-31,Mitglied,112000.0,23000.0,5000.0,140000.0,,Nordrhein-Westfalen,SVWL,2014.0,138000.0,0.16666666666666666
Sparkasse KölnBonn,Ulrich Voigt,2014-01-01,2014-12-31,Mitglied,409500.0,91700.0,45400.0,546600.0,,Nordrhein-Westfalen,RSGV,2014.0,521670.0,0.17578162439856615
Sparkasse Hanau,Nils Galle,2014-01-01,2014-12-31,Mitglied,245000.0,25000.0,0.0,270000.0,,Hessen,SGVHT,2014.0,139000.0,0.17985611510791366
Sparkasse KölnBonn,Dr. Joachim Schmalzl,2014-01-01,2014-12-31,Mitglied,409500.0,91700.0,25400.0,526600.0,,Nordrhein-Westfalen,RSGV,2014.0,506370.0,0.1810928767502024
Sparkasse KölnBonn,Dr. Christoph Siemons,2014-01-01,2014-12-31,Mitglied,409500.0,91700.0,24300.0,525500.0,,Nordrhein-Westfalen,RSGV,2014.0,499470.0,0.18359461028690413
Sparkasse Märkisches Sauerland Hemer-Menden,Dietmar Tacke,2014-01-01,2014-12-31,Vorsitzende(r),348000.0,62000.0,8000.0,418000.0,,Nordrhein-Westfalen,SVWL,2014.0,320000.0,0.19375
Sparkasse KölnBonn,Artur Grzesiek,2014-01-01,2014-12-31,Vorsitzende(r),590600.0,137500.0,16500.0,744600.0,,Nordrhein-Westfalen,RSGV,2014.0,706600.0,0.19459382960656665
Sparkasse Leverkusen,Manfred Herpolsheimer,2014-01-01,2014-12-31,Vorsitzende(r),416600.0,103000.0,18800.0,538400.0,,Nordrhein-Westfalen,RSGV,2014.0,522500.0,0.1971291866028708
Sparkasse der Stadt Iserlohn,Thomas Nagel,2014-01-01,2014-12-31,Mitglied,270000.0,56000.0,9000.0,335000.0,,Nordrhein-Westfalen,SVWL,2014.0,281000.0,0.199288256227758
Frankfurter Sparkasse,Altfried M. Lütkenhaus,2014-01-01,2014-12-31,Mitglied,363000.0,200000.0,0.0,563000.0,,Hessen,SGVHT,2014.0,567000.0,0.3527336860670194
Frankfurter Sparkasse,Stephan Bruhn,2014-01-01,2014-12-31,Mitglied,368000.0,200000.0,0.0,568000.0,,Hessen,SGVHT,2014.0,566000.0,0.353356890459364
Frankfurter Sparkasse,Herbert Hans Grüntker,2014-01-01,2014-12-31,Vorsitzende(r),452000.0,300000.0,0.0,752000.0,,Hessen,SGVHT,2014.0,757000.0,0.3963011889035667
Frankfurter Sparkasse,Arne Weick,2014-01-01,2014-12-31,Mitglied,369000.0,200000.0,0.0,569000.0,,Hessen,SGVHT,2014.0,483000.0,0.4140786749482402
Sparkasse Märkisches Sauerland Hemer-Menden,Jörg Kötter,2014-01-01,2014-12-31,Mitglied,265000.0,25000.0,14000.0,304000.0,,Nordrhein-Westfalen,SVWL,2014.0,38000.0,0.6578947368421053
