sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Battenberg,Hessen,0.055684695,239 T. €,119.5,"119,5 T. €","186,6 Mio. €",65,65.0,2
Stadtsparkasse Grebenstein,Hessen,0.050684293,254 T. €,87.58620689655173,"87,6 T. €","188,2 Mio. €",62,62.0,"2,9"
Stadtsparkasse Borken,Hessen,0.04345378,278 T. €,139.0,139 T. €,"150,7 Mio. €",48,48.0,2
Sparkasse Laubach-Hungen,Hessen,0.0670256386,291 T. €,145.5,"145,5 T. €","237,8 Mio. €",81,81.0,2
Stadtsparkasse Schwalmstadt,Hessen,0.053798237,291 T. €,145.5,"145,5 T. €","193,6 Mio. €",48,48.0,2
Sparkasse Hohenwestedt,Schleswig-Holstein,0.065397131,305 T. €,152.5,"152,5 T. €","239,5 Mio. €",47,47.0,2
Stadtsparkasse Haltern am See,Nordrhein-Westfalen,0.0785124389,315 T. €,157.5,"157,5 T. €","295,9 Mio. €",109,109.0,2
Kreissparkasse Hildburghausen,Thüringen,0.1356695232,319 T. €,159.5,"159,5 T. €","524,7 Mio. €",134,134.0,2
Sparkasse Geseke,Nordrhein-Westfalen,0.0736237869,329 T. €,164.5,"164,5 T. €",269 Mio. €,80,80.0,2
Sparkasse Unstrut-Hainich,Thüringen,0.298899184,343 T. €,171.5,"171,5 T. €","1,1 Mrd. €",290,290.0,2
Sparkasse Schönau-Todtnau,Baden-Württemberg,0.0871487569,345 T. €,172.5,"172,5 T. €","328,8 Mio. €",80,80.0,2
Sparkasse St. Blasien,Baden-Württemberg,0.0970374468,349 T. €,174.5,"174,5 T. €","362,2 Mio. €",83,83.0,2
Stadtsparkasse Schmallenberg,Nordrhein-Westfalen,0.10110164,353 T. €,176.5,"176,5 T. €","376,3 Mio. €",88,88.0,2
Stadtsparkasse Blomberg/Lippe,Nordrhein-Westfalen,0.07559,360 T. €,180.0,180 T. €,290 Mio. €,75,75.0,2
Stadtsparkasse Felsberg,Hessen,0.0424412175,361 T. €,120.33333333333333,"120,3 T. €","156,1 Mio. €",42,42.0,3
Stadtsparkasse Völklingen,Saarland,0.0973042019,"366,3 T. €",183.129,"183,1 T. €","367,7 Mio. €",90,90.0,2
Sparkasse Sonneberg,Thüringen,0.17445543,368 T. €,184.0,184 T. €,"614,6 Mio. €",216,216.0,2
Kreissparkasse St. Wendel,Saarland,0.318162947,"370,9 T. €",185.4495,"185,4 T. €","1,1 Mrd. €",311,311.0,2
