sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Battenberg,"35116,35088,35108",Hessen,0.055684695,239 T. €,119.5,"119,5 T. €","186,6 Mio. €",65,65.0,2
Stadtsparkasse Grebenstein,"34376,34379,34393",Hessen,0.050684293,254 T. €,87.58620689655173,"87,6 T. €","188,2 Mio. €",62,62.0,"2,9"
Sparkasse Laubach-Hungen,"35321,35410",Hessen,0.0670256386,291 T. €,145.5,"145,5 T. €","237,8 Mio. €",81,81.0,2
Stadtsparkasse Schwalmstadt,34613,Hessen,0.053798237,291 T. €,145.5,"145,5 T. €","193,6 Mio. €",48,48.0,2
Sparkasse Hohenwestedt,"24647,25581,24797,24594,24613,24819,25590,24634",Schleswig-Holstein,0.065397131,305 T. €,152.5,"152,5 T. €","239,5 Mio. €",47,47.0,2
Stadtsparkasse Haltern am See,45721,Nordrhein-Westfalen,0.0785124389,315 T. €,157.5,"157,5 T. €","295,9 Mio. €",109,109.0,2
Kreissparkasse Hildburghausen,"98553,98630,98646,98660,98663,98669,98673,98678,98667,98666",Thüringen,0.1356695232,319 T. €,159.5,"159,5 T. €","524,7 Mio. €",134,134.0,2
Sparkasse Geseke,59590,Nordrhein-Westfalen,0.0736237869,329 T. €,164.5,"164,5 T. €",269 Mio. €,80,80.0,2
Sparkasse Unstrut-Hainich,"99991,99996,99998,99976,99955,99988,99974,99947,99986,99994",Thüringen,0.298899184,343 T. €,171.5,"171,5 T. €","1,1 Mrd. €",290,290.0,2
Sparkasse Schönau-Todtnau,"79694,79695,79674,79677",Baden-Württemberg,0.0871487569,345 T. €,172.5,"172,5 T. €","328,8 Mio. €",80,80.0,2
Sparkasse St. Blasien,"79862,79837,79872,79875,79859",Baden-Württemberg,0.0970374468,349 T. €,174.5,"174,5 T. €","362,2 Mio. €",83,83.0,2
Stadtsparkasse Schmallenberg,57392,Nordrhein-Westfalen,0.10110164,353 T. €,176.5,"176,5 T. €","376,3 Mio. €",88,88.0,2
Stadtsparkasse Blomberg/Lippe,32825,Nordrhein-Westfalen,0.07559,360 T. €,180.0,180 T. €,290 Mio. €,75,75.0,2
Sparkasse Sonneberg,"96524,96515,96528,96523,98724",Thüringen,0.17445543,368 T. €,184.0,184 T. €,"614,6 Mio. €",216,216.0,2
Kreissparkasse St. Wendel,"66620,66646,66629,66649,66636,66606,66640,66625",Saarland,0.318162947,"370,9 T. €",185.4495,"185,4 T. €","1,1 Mrd. €",311,311.0,2
Sparkasse Hennstedt-Wesselburen,"25774,25776,25746,25792,25794,25788,25782,25795,25764,25786,25797,25779,25799,25791",Schleswig-Holstein,0.164959873,380 T. €,126.66666666666667,"126,7 T. €","671,5 Mio. €",173,173.0,3
Sparkasse Altenburger Land,"04626,04603,04600,04610,04617,04639,04613,04618",Thüringen,0.2584887428,384 T. €,192.0,192 T. €,"981,7 Mio. €",239,239.0,2
Sparkasse Finnentrop,57413,Nordrhein-Westfalen,0.076601953,396 T. €,198.0,198 T. €,"296,5 Mio. €",94,94.0,2
Sparkasse Salem-Heiligenberg,"88693,88697,88633,88682,88090,88690,88699",Baden-Württemberg,0.219146389,399 T. €,199.5,"199,5 T. €","825,2 Mio. €",139,139.0,2
Stadtsparkasse Porta Westfalica,32457,Nordrhein-Westfalen,0.1166310689,399 T. €,199.5,"199,5 T. €","449,3 Mio. €",108,108.0,2
Stadtsparkasse Versmold,33775,Nordrhein-Westfalen,0.0834645362,400 T. €,200.0,200 T. €,"301,6 Mio. €",79,79.0,2
Kreissparkasse Gelnhausen,"63589,63579,63619,63594,63633,63637,63584,63599,63636,63607,63639,63571",Hessen,0.318724873,401 T. €,190.95238095238093,191 T. €,"1,1 Mrd. €",320,320.0,"2,1"
